gene,GTDBr214_P_present,GTDBr214_call@0.5,GTDBr214_call@0.7,GTDBr214_call@0.9,hybrid_order_level_P_present,hybrid_order_level_call@0.5,hybrid_order_level_call@0.7,hybrid_order_level_call@0.9,hybrid_family_level_P_present,hybrid_family_level_call@0.5,hybrid_family_level_call@0.7,hybrid_family_level_call@0.9,consistent_across_runs
CsrA,0.9994713372134764,present,present,present,0.9999987261537264,present,present,present,0.9999961225280456,present,present,present,True
DUF1217,0.000226539007144,absent,absent,absent,1.884565080182543e-07,absent,absent,absent,3.457478022696902e-07,absent,absent,absent,True
DUF327,0.9998349669322728,present,present,present,0.0125128570085618,absent,absent,absent,0.2729499402399744,absent,absent,absent,False
FapA,0.9998356191763,present,present,present,0.9999944685145112,present,present,present,0.9998088322788784,present,present,present,True
FlaF,0.0001092866860267,absent,absent,absent,2.0309497669751188e-07,absent,absent,absent,5.315208053017919e-07,absent,absent,absent,True
FlaG,0.996887478735201,present,present,present,0.9999981591686224,present,present,present,0.9999941820005024,present,present,present,True
FlaY,0.0001580289067081,absent,absent,absent,1.3910586106310525e-07,absent,absent,absent,2.7997330002345624e-07,absent,absent,absent,True
FlbT,0.0001544360538069,absent,absent,absent,2.542496871615038e-07,absent,absent,absent,6.315104680748319e-07,absent,absent,absent,True
FlcA,1.4411397083195052e-05,absent,absent,absent,2.10705718533738e-08,absent,absent,absent,5.2197192801625035e-08,absent,absent,absent,True
FlcB,0.023422209104098,absent,absent,absent,5.33633904710452e-08,absent,absent,absent,1.308313768993257e-07,absent,absent,absent,True
FlcC,0.5275504407016537,present,absent,absent,2.478905739562951e-08,absent,absent,absent,6.287079922516324e-08,absent,absent,absent,False
FlcD,0.5457976359638824,present,absent,absent,1.9957250691403605e-08,absent,absent,absent,4.8630257573756585e-08,absent,absent,absent,False
FlgA,0.9998302687303452,present,present,present,0.9999993610052036,present,present,present,0.9999971041727824,present,present,present,True
FlgB,0.9993341178779168,present,present,present,0.9999973688079667,present,present,present,0.9999874015205188,present,present,present,True
FlgC,0.9993014083956334,present,present,present,0.9999972495230852,present,present,present,0.9999868555705111,present,present,present,True
FlgD,0.9992787171934636,present,present,present,0.999996978661128,present,present,present,0.9999852166565156,present,present,present,True
