source	clade_size	clade_members
gtdb_only	2	Binatia,UBA9160
gtdb_only	2	Aquicultoria,Humimicrobiia
gtdb_only	2	Fimbriimonadia,HRBIN16
gtdb_only	2	Fibrobacteria,OXYB2-FULL-49-7
gtdb_only	2	Armatimonadia,Chthonomonadetes
gtdb_only	2	Ozemobacteria,UBA6191
gtdb_only	2	Brocadiia,MHYJ01
gtdb_only	2	QYQD01,RBG-13-43-22
gtdb_only	2	Brachyspirae,UBA12135
gtdb_only	2	Muirbacteriia,UBA9980
gtdb_only	2	Dehalobacteriia,Desulfitobacteriia
gtdb_only	2	JAJYWN01,Symbiobacteriia
gtdb_only	2	B62-G9,JAAYUW01
gtdb_only	2	Krumholzibacteria,RBG-16-71-46
gtdb_only	2	Aminicenantia,CAIWXX01
gtdb_only	2	Clostridia,Thermoanaerobacteria
gtdb_only	2	UBA4151,UBA727
gtdb_only	2	Kiritimatiellia,Verrucomicrobiae
gtdb_only	2	SZUA-567,UBA11346
gtdb_only	2	DSM-4660,JADFXK01
gtdb_only	2	Anaerolineae,Chloroflexia
gtdb_only	2	Desulfomonilia,Syntrophia
gtdb_only	2	Desulfofervidia,Desulfovibrionia
gtdb_only	2	Oligoflexia,UBA2361
gtdb_only	2	UBA8473,WTBG01
gtdb_only	2	WYAZ01,XYA12-FULL-58-9
gtdb_only	2	JAAXVQ01,PGYV01
gtdb_only	2	OLB16,Sumerlaeia
gtdb_only	2	Dehalococcoidia,FW602-bin22
gtdb_only	2	4484-107,Latescibacteria
gtdb_only	2	Bradymonadia,UBA9042
gtdb_only	2	Bacteriovoracia,UBA1018
gtdb_only	2	Bacteroidia,Rhodothermia
gtdb_only	2	RBS10-35,Thermaerobacteria
gtdb_only	2	SHA-98,UBA4882
gtdb_only	2	Gemmatimonadetes,Glassbacteria
gtdb_only	2	9FT-COMBO-42-15,Nitrospiria
gtdb_only	2	Marinisomatia,UBA8477
gtdb_only	2	Ch66,DSM-12270
gtdb_only	2	B15-G4,UBA1135
gtdb_only	2	Desulfuromonadia,JAJRXV01
gtdb_only	2	Gammaproteobacteria,Magnetococcia
gtdb_only	2	Dethiobacteria,Natranaerobiia
gtdb_only	2	DTU065,Limnochordia
gtdb_only	2	JAJZYS01,Sulfobacillia
gtdb_only	2	BMS3BBIN04,RPQS01
gtdb_only	2	JdFR-76,QNDG01
gtdb_only	2	RBG-16-64-22,Thermodesulfovibrionia
gtdb_only	2	Nitrospinia,UBA7883
gtdb_only	2	Blastocatellia,Terriglobia
gtdb_only	2	Anaeroferrophillalia,S145-22
gtdb_only	2	J058,UBA8108
gtdb_only	2	SZUA-79,Syntrophorhabdia
gtdb_only	2	JACPQY01,UBA10199
gtdb_only	2	DTU030,UBA994
gtdb_only	2	AABM5-125-24,B3-LCP
flagella_only	2	Myxococcia,UBA727
flagella_only	2	UBA7883,UBA9942
flagella_only	2	Chthonomonadetes,HRBIN16
flagella_only	2	9FT-COMBO-42-15,RBG-16-64-22
flagella_only	2	SLMV01,Thermaerobacteria
flagella_only	2	Bdellovibrionia,UBA1018
flagella_only	2	JABDJQ01,Rhodothermia
flagella_only	2	GCA-002687715,UBA1135
flagella_only	2	Aminicenantia,B130-G9
flagella_only	2	Binatia,UBA2361
flagella_only	2	BSN033,SM23-61
flagella_only	2	Chitinivibrionia,OXYB2-FULL-49-7
flagella_only	2	Natranaerobiia,Proteinivoracia
flagella_only	2	UBA2242,UBA8477
flagella_only	2	JAJZYS01,RBS10-35
flagella_only	2	Ozemobacteria,UBA9980
flagella_only	2	Desulfitobacteriia,Negativicutes
flagella_only	2	Deferrimicrobia,UBA8473
