taxon	present_in
2-12-FULL-45-22	gtdb_only
32-111	gtdb_only
4484-211	gtdb_only
4484-213	gtdb_only
4572-55	gtdb_only
AB16	gtdb_only
ABY1	gtdb_only
AC1	gtdb_only
ARS69	gtdb_only
AUK180	gtdb_only
Abditibacteria	gtdb_only
Andersenbacteria	gtdb_only
B13-G15	gtdb_only
B26-G2	gtdb_only
B3-B38	gtdb_only
BMS3Abin14	gtdb_only
Babeliae	gtdb_only
Bipolaricaulia	gtdb_only
CADAWZ01	gtdb_only
CAIJMQ01	gtdb_only
CAKKQC01	gtdb_only
CG03	gtdb_only
CG2-30-40-21	gtdb_only
CG2-30-54-11	gtdb_only
CG2-30-70-394	gtdb_only
CLD3	gtdb_only
CPR2	gtdb_only
CPR3	gtdb_only
CSSED10-310	gtdb_only
Caldisericia	gtdb_only
Chlorobia	gtdb_only
Coriobacteriia	gtdb_only
Cyanobacteriia	gtdb_only
D2-FULL-39-29	gtdb_only
DG-23	gtdb_only
DG-26	gtdb_only
DG-26_A	gtdb_only
DRYD01	gtdb_only
DTOL01	gtdb_only
DYIH01	gtdb_only
Deinococci	gtdb_only
Dictyoglomia	gtdb_only
Dojkabacteria	gtdb_only
Dormibacteria	gtdb_only
Doudnabacteria	gtdb_only
E44-bin80	gtdb_only
Endomicrobia	gtdb_only
Entotheonellia	gtdb_only
Fermentibacteria	gtdb_only
Gracilibacteria	gtdb_only
HKB111	gtdb_only
HRBIN11	gtdb_only
Hydrothermia	gtdb_only
JAANXI01	gtdb_only
JAAXHH01	gtdb_only
JABDET01	gtdb_only
JABMPQ01	gtdb_only
JABMQX01	gtdb_only
JABMRZ01	gtdb_only
JABWAT01	gtdb_only
JACIXR01	gtdb_only
JACMRA01	gtdb_only
JACPGU01	gtdb_only
JACPWU01	gtdb_only
JACRDZ01	gtdb_only
JADFVX01	gtdb_only
JADGBV01	gtdb_only
JAEDAM01	gtdb_only
JAENJC01	gtdb_only
JAFGOL01	gtdb_only
JAFGXH01	gtdb_only
JAHEXW01	gtdb_only
JAHJDO01	gtdb_only
JAJSAM01	gtdb_only
JAJZIM01	gtdb_only
JAKEIC01	gtdb_only
JALEGL01	gtdb_only
JAMCPX01	gtdb_only
JANLFM01	gtdb_only
JS1	gtdb_only
Kazan-3B-28	gtdb_only
MVCY01	gtdb_only
Marinamargulisbacteria	gtdb_only
Mcinerneyibacteria	gtdb_only
Microgenomatia	gtdb_only
Moduliflexia	gtdb_only
NPL-UPA2	gtdb_only
O2-12-FULL-43-9	gtdb_only
Omnitrophia	gtdb_only
PLA2	gtdb_only
PUNC01	gtdb_only
PUPC01	gtdb_only
Paceibacteria	gtdb_only
Palsa-1180	gtdb_only
RBG-13-61-14	gtdb_only
RBG-13-66-14	gtdb_only
RUG730	gtdb_only
Rubrobacteria	gtdb_only
SBBH01	gtdb_only
SDB-A	gtdb_only
SLGR01	gtdb_only
SYMT01	gtdb_only
SZUA-182	gtdb_only
SZUA-224	gtdb_only
SZUA-365	gtdb_only
Saccharimonadia	gtdb_only
SpSt-1050	gtdb_only
TC1	gtdb_only
Termititenacia	gtdb_only
Thermoanaerobaculia	gtdb_only
UBA1144	gtdb_only
UBA1177	gtdb_only
UBA11872	gtdb_only
UBA1384	gtdb_only
UBA1551	gtdb_only
UBA2233	gtdb_only
UBA3054	gtdb_only
UBA3072	gtdb_only
UBA3073	gtdb_only
UBA4733	gtdb_only
UBA4738	gtdb_only
UBA4820	gtdb_only
UBA5177	gtdb_only
UBA6098	gtdb_only
UBA6262	gtdb_only
UBA6266	gtdb_only
UBA6624	gtdb_only
UBA6777	gtdb_only
UBA6919	gtdb_only
UBA7526	gtdb_only
UBA8153	gtdb_only
UBA8468	gtdb_only
UBA890	gtdb_only
UBA8919	gtdb_only
UBA9088	gtdb_only
UBA9217	gtdb_only
UBA995	gtdb_only
Uabimicrobiia	gtdb_only
VGIX01	gtdb_only
WOR-1	gtdb_only
WOR-3	gtdb_only
WWE3	gtdb_only
Zymogenia	gtdb_only
