taxon	present_in
0-14-0-10-38-17	gtdb_only
0-14-0-20-40-13	gtdb_only
02-FULL-45-10c	gtdb_only
1-14-0-10-40-38	gtdb_only
1-14-0-10-42-19	gtdb_only
1-14-0-10-43-13	gtdb_only
1-14-0-10-44-23	gtdb_only
1-14-0-20-49-13	gtdb_only
1-14-0-20-64-10	gtdb_only
13-1-40CM-64-14	gtdb_only
16-39-46	gtdb_only
1604HC	gtdb_only
172606-1	gtdb_only
2-01-FULL-39-13	gtdb_only
2-01-FULL-39-33	gtdb_only
2-01-FULL-40-14	gtdb_only
2-01-FULL-43-14	gtdb_only
2-01-FULL-45-10	gtdb_only
2-01-FULL-45-33	gtdb_only
2-01-FULL-46-14	gtdb_only
2-01-FULL-50-11	gtdb_only
2-01-FULL-52-15	gtdb_only
2-01-FULL-56-20	gtdb_only
2-01-FULL-58-14	gtdb_only
2-01-FULL-66-17	gtdb_only
2-02-FULL-35-15	gtdb_only
2-02-FULL-39-11	gtdb_only
2-02-FULL-39-32	gtdb_only
2-02-FULL-40-11	gtdb_only
2-02-FULL-40-12	gtdb_only
2-02-FULL-43-11	gtdb_only
2-02-FULL-44-16	gtdb_only
2-02-FULL-48-12	gtdb_only
2-02-FULL-48-14	gtdb_only
2-02-FULL-50-16-A	gtdb_only
2-02-FULL-50-9b	gtdb_only
2-02-FULL-51-18	gtdb_only
2-02-FULL-66-22	gtdb_only
2-02-FULL-67-57	gtdb_only
2-12-FULL-35-15	gtdb_only
2-12-FULL-38-22	gtdb_only
2-12-FULL-40-10	gtdb_only
2-12-FULL-40-12	gtdb_only
2-12-FULL-41-12	gtdb_only
2-12-FULL-49-11	gtdb_only
2-12-FULL-50-11	gtdb_only
2-12-FULL-54-10	gtdb_only
2-12-FULL-57-11	gtdb_only
2-12-FULL-60-25	gtdb_only
2-12-FULL-66-21	gtdb_only
2-12-FULL-67-15	gtdb_only
2013-40CM-41-45	gtdb_only
2013Ark19i	gtdb_only
21-14-0-20-44-7	gtdb_only
21-14-all-36-13	gtdb_only
