taxon	present_in
0-14-0-10-38-17	gtdb_only
0-14-0-20-40-13	gtdb_only
02-12-FULL-59-9	gtdb_only
1-14-0-20-64-10	gtdb_only
16-39-46	gtdb_only
2-01-FULL-39-13	gtdb_only
2-01-FULL-39-33	gtdb_only
2-01-FULL-45-10	gtdb_only
2-01-FULL-59-12	gtdb_only
2-01-FULL-66-17	gtdb_only
2-02-FULL-35-15	gtdb_only
2-02-FULL-39-11	gtdb_only
2-02-FULL-39-32	gtdb_only
2-02-FULL-40-11	gtdb_only
2-02-FULL-40-12	gtdb_only
2-02-FULL-44-16	gtdb_only
2-02-FULL-51-18	gtdb_only
2-12-FULL-45-22	gtdb_only
2-12-FULL-49-11	gtdb_only
2-12-FULL-50-11	gtdb_only
2-12-FULL-54-10	gtdb_only
32-111	gtdb_only
4484-211	gtdb_only
4484-213	gtdb_only
4484-93	gtdb_only
54-19	gtdb_only
9FT-COMBO-42-15	gtdb_only
AABM5-25-91	gtdb_only
AB16	gtdb_only
AC-67	gtdb_only
AC1	gtdb_only
AKYH767	gtdb_only
AKYH767-A	gtdb_only
ARS69	gtdb_only
AUK180	gtdb_only
Abditibacteriales	gtdb_only
Absconditabacterales	gtdb_only
Acholeplasmatales	gtdb_only
Acidaminococcales	gtdb_only
Acidothermales	gtdb_only
Actinomarinales	gtdb_only
Aggregatilineales	gtdb_only
Aminicenantales	gtdb_only
AqS2	gtdb_only
Aquiviventales	gtdb_only
Ardenticatenales	gtdb_only
B13-G15	gtdb_only
B142	gtdb_only
B15-G9	gtdb_only
B22-G15	gtdb_only
B3-B38	gtdb_only
B3-TA06	gtdb_only
B4-G1	gtdb_only
B48-G9	gtdb_only
B70-G9	gtdb_only
BD1-5	gtdb_only
BM002	gtdb_only
BM507	gtdb_only
BMS3ABIN01	gtdb_only
BMS3Abin14	gtdb_only
BOG-932	gtdb_only
Babeliales	gtdb_only
Bac17	gtdb_only
Bacillales_E	gtdb_only
Bacillales_F	gtdb_only
Beggiatoales	gtdb_only
Bin125	gtdb_only
Bin18	gtdb_only
