source	clade_size	clade_members
gtdb_only	2	OLB16,Sumerlaeota
gtdb_only	2	Lindowbacteria,T1Sed10-126
gtdb_only	2	CG2-30-53-67,Nitrospirota
gtdb_only	2	JACRDZ01,UBA9089
gtdb_only	2	Eisenbacteria,Krumholzibacteriota
gtdb_only	2	Nitrospinota,UBA8248
gtdb_only	2	Desulfobacterota_G,SZUA-79
gtdb_only	2	Desulfobacterota_C,Desulfobacterota_E
gtdb_only	2	Riflebacteria,UBP17
gtdb_only	2	CSP1-3,Chloroflexota
gtdb_only	2	Aquificota,Campylobacterota
gtdb_only	2	Bacillota_B,Bacillota_C
gtdb_only	2	Atribacterota,Synergistota
gtdb_only	2	Latescibacterota,Zixibacteria
gtdb_only	2	JdFR-76,QNDG01
gtdb_only	2	Muirbacteria,Wallbacteria
gtdb_only	2	Acidobacteriota,B130-G9
gtdb_only	2	Nitrospirota_A,Pseudomonadota
gtdb_only	2	Goldbacteria,JAAXVQ01
gtdb_only	2	Bacillota,Bacillota_D
gtdb_only	2	Desulfobacterota_B,Myxococcota_A
gtdb_only	2	Bacillota_H,DTU030
gtdb_only	2	JACPQY01,UBA10199
flagella_only	2	Lindowbacteria,UBA8481
flagella_only	2	Patescibacteria,Pseudomonadota
flagella_only	2	Eisenbacteria,Gemmatimonadota
flagella_only	2	Calditrichota,Marinisomatota
flagella_only	2	Desulfobacterota_E,Nitrospirota
flagella_only	2	Nitrospirota_A,SZUA-79
flagella_only	2	Elusimicrobiota,JAAXVQ01
flagella_only	2	Goldbacteria,UBP15
flagella_only	2	Spirochaetota,UBA9089
flagella_only	2	Bacillota_E,CSP1-3
flagella_only	2	Riflebacteria,Wallbacteria
flagella_only	2	Bacillota,Bacillota_A
flagella_only	2	Atribacterota,DUMJ01
flagella_only	2	JdFR-76,KSB1
flagella_only	2	Bacillota_G,DTU030
flagella_only	2	Myxococcota,UBA10199
flagella_only	2	Aquificota,Calescibacterota
flagella_only	2	FEN-1099,Sumerlaeota
flagella_only	2	Actinomycetota,Chloroflexota
flagella_only	2	CG2-30-53-67,Schekmanbacteria
flagella_only	2	QNDG01,SM23-31
flagella_only	2	Bacillota_D,Bacillota_H
flagella_only	2	Fusobacteriota,Muirbacteria
