taxon	present_in
4572-55	gtdb_only
ARS69	gtdb_only
AUK180	gtdb_only
BMS3Abin14	gtdb_only
Bipolaricaulota	gtdb_only
CAIJMQ01	gtdb_only
CAKKQC01	gtdb_only
CG03	gtdb_only
CG2-30-70-394	gtdb_only
CLD3	gtdb_only
CSSED10-310	gtdb_only
Caldisericota	gtdb_only
DRYD01	gtdb_only
Deinococcota	gtdb_only
Dependentiae	gtdb_only
Desantisbacteria	gtdb_only
Desulfobacterota_D	gtdb_only
Dictyoglomota	gtdb_only
Dormibacterota	gtdb_only
Edwardsbacteria	gtdb_only
FCPU426	gtdb_only
Fermentibacterota	gtdb_only
Firestonebacteria	gtdb_only
GCA-001730085	gtdb_only
HKB111	gtdb_only
JAAXHH01	gtdb_only
JABMQX01	gtdb_only
JACIXR01	gtdb_only
JACPWU01	gtdb_only
JAHJDO01	gtdb_only
JAMCPX01	gtdb_only
JANLFM01	gtdb_only
Mcinerneyibacteriota	gtdb_only
Moduliflexota	gtdb_only
NPL-UPA2	gtdb_only
Nitrospinota_B	gtdb_only
PUNC01	gtdb_only
RBG-13-61-14	gtdb_only
RBG-13-66-14	gtdb_only
RUG730	gtdb_only
Ratteibacteria	gtdb_only
SZUA-182	gtdb_only
TA06	gtdb_only
TA06_A	gtdb_only
Tectomicrobia	gtdb_only
UBA2233	gtdb_only
UBA3054	gtdb_only
UBA6262	gtdb_only
UBA6266	gtdb_only
UBP14	gtdb_only
UBP18	gtdb_only
UBP6	gtdb_only
UBP7	gtdb_only
VGIX01	gtdb_only
WOR-3	gtdb_only
