bin_start_leaf_index	FliJ	FliH	MotE	FliK	FliG
0	50.0	50.0	0.0	47.0	11.0
50	50.0	47.0	0.0	36.0	17.0
100	50.0	50.0	0.0	1.0	13.0
150	50.0	49.0	0.0	0.0	32.0
200	50.0	48.0	0.0	4.0	36.0
250	50.0	49.0	0.0	23.0	14.0
300	50.0	49.0	0.0	47.0	1.0
350	50.0	49.0	0.0	38.0	0.0
400	48.0	47.0	0.0	9.0	0.0
450	50.0	50.0	0.0	45.0	0.0
500	50.0	50.0	0.0	45.0	1.0
550	50.0	50.0	0.0	36.0	0.0
600	50.0	49.0	0.0	42.0	0.0
650	50.0	50.0	0.0	44.0	0.0
700	50.0	49.0	0.0	47.0	1.0
750	50.0	50.0	0.0	49.0	0.0
800	50.0	49.0	0.0	47.0	0.0
850	49.0	50.0	0.0	44.0	0.0
900	47.0	49.0	0.0	34.0	0.0
950	50.0	50.0	0.0	49.0	1.0
1000	49.0	47.0	0.0	47.0	1.0
1050	50.0	49.0	0.0	47.0	0.0
1100	50.0	50.0	0.0	16.0	0.0
1150	50.0	50.0	0.0	37.0	0.0
1200	50.0	50.0	0.0	46.0	0.0
1250	49.0	50.0	0.0	46.0	0.0
1300	49.0	48.0	0.0	36.0	0.0
1350	49.0	48.0	0.0	24.0	0.0
1400	50.0	50.0	0.0	37.0	0.0
1450	50.0	49.0	0.0	44.0	5.0
1500	48.0	45.0	0.0	33.0	1.0
1550	50.0	49.0	0.0	8.0	0.0
1600	50.0	50.0	0.0	19.0	0.0
1650	50.0	47.0	0.0	23.0	0.0
1700	50.0	48.0	0.0	17.0	0.0
1750	49.0	47.0	0.0	20.0	0.0
1800	48.0	46.0	0.0	33.0	0.0
1850	47.0	43.0	0.0	36.0	3.0
1900	49.0	50.0	0.0	23.0	11.0
1950	49.0	49.0	0.0	21.0	0.0
2000	47.0	44.0	0.0	18.0	6.0
2050	46.0	48.0	0.0	0.0	7.0
2100	50.0	49.0	0.0	0.0	2.0
2150	49.0	48.0	0.0	0.0	9.0
2200	38.0	47.0	0.0	0.0	17.0
2250	48.0	48.0	0.0	1.0	14.0
2300	46.0	48.0	0.0	0.0	1.0
