side	assembly	phylum	class	order	family	genus	species	n_ancestral_genes_present	n_ancestral_genes_total	n_total_flagellar_genes_present	FlhA	FlhB	FliO	FliP	FliQ	FliR	FliH	FliI	FliJ	FliF	FliE	FlgB	FlgC	FlgF	FlgG	FlgE	FlgD	FlgH	FlgI	FlgA	FlgJ	FlgP	FliG	FliL	FliM	FliN	MotA	MotB	MotE	SwrD	FliC	FliD	FlgK	FlgL	FlgN	FlhF	FlhG	FliK	FliS	FliT	FapA	SwrB	FliA	FlgM	FliW	FlaG	PilZ	CsrA	Transglycosylase	Putative
Terrabacteria	RS_GCF_007830295.1	p__Bacillota_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa sp007830295	50	50	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Terrabacteria	RS_GCF_007641255.1	p__Bacillota_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa termitida	50	50	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Terrabacteria	RS_GCF_000379025.1	p__Bacillota_F	c__Halanaerobiia	o__Halobacteroidales	f__Halobacteroidaceae	g__Orenia	s__Orenia marismortui	49	50	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Terrabacteria	RS_GCF_023227765.1	p__Bacillota_F	c__Halanaerobiia	o__Halobacteroidales	f__Acetohalobiaceae	g__Fuchsiella	s__Fuchsiella alkaliacetigena	49	50	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Terrabacteria	GB_GCA_018436595.1	p__Synergistota	c__Synergistia	o__Synergistales	f__Aminobacteriaceae	g__Aminivibrio	s__Aminivibrio sp009929115	48	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
Terrabacteria	RS_GCF_000526375.1	p__Synergistota	c__Synergistia	o__Synergistales	f__Aminiphilaceae	g__Aminiphilus	s__Aminiphilus circumscriptus	48	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
Terrabacteria	RS_GCF_011057715.1	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Marinitoga	s__Marinitoga sp011057715	48	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Terrabacteria	RS_GCF_900129175.1	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Marinitoga	s__Marinitoga hydrogenitolerans	48	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Terrabacteria	GB_GCA_012735315.1	p__Bacillota_G	c__UBA4882	o__UBA8346	f__UBA8346	g__JAAYHS01	s__JAAYHS01 sp012735315	48	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Terrabacteria	GB_GCA_023394955.1	p__Bacillota_G	c__UBA4882	o__UBA8346	f__UBA8346	g__JAAYHS01	s__JAAYHS01 sp023394955	48	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Gracilicutes	GB_GCA_023436205.1	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinispirillaceae	g__JAEZKC01	s__JAEZKC01 sp023436205	49	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Gracilicutes	GB_GCA_016187725.1	p__Latescibacterota	c__UBA2968	o__UBA8231	f__UBA8231	g__SICG01	s__SICG01 sp016187725	49	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Gracilicutes	RS_GCF_016458275.1	p__Desulfobacterota_F	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Geomesophilobacter	s__Geomesophilobacter sediminis	49	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Gracilicutes	RS_GCF_014218275.1	p__Desulfobacterota_F	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Geomonas	s__Geomonas pelophila	49	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Gracilicutes	GB_GCA_014728295.1	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__WJKA01	g__WJLW01	s__WJLW01 sp014728295	48	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
Gracilicutes	GB_GCA_020060215.1	p__Desulfobacterota	c__DSM-4660	o__Desulfatiglandales	f__HGW-15	g__HGW-15	s__HGW-15 sp020060215	48	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
