Genome ID,Completeness,Phylum,Class,Order,Family,Genus,Species,FliF,FliG,FliI,FliR,FlhA,FlhB,FlgB,FlgC,FlgE,FlgK,FliE,FliP,FliQ,MotA,MotB,FliH,FliM,FliK,FlgD,FlgL,FliO,FliC,FliJ,FliL,FlgN,FlgF,FlgG,FliS,FliD,FliA,FlhF,PilZ/YcgR,FliT,FlgJ,FlgM,FlhG,FlgI,FlgH,FlgA,FlaG,FliW,MotE,CsrA,FlgR/FlrC/FlrA/FlaK/FlbD,SwrB/FlgW,SwrD,Flagellar_put/Putative,yvyF,YviE/DUF6470,FlaF,FliB,MotC,MotK,MotX ,MotY,PflA,PflB,FlcA,FlcB,FlcC,FlcD,FlbT,FlgP,FlgT,FliZ,tPilZ/FlgX,FlhC,FlhD,DUF327,FapA/DUF342,DUF1217,FlgO,FlaY,YdiV,FlhE,FlgQ,flk,Glucosaminidase,SwrA,FljA,SLT/Transglycosylase,FliN/FliY
GCF_000092845.1,99.2,p__Spirochaetota,c__Brachyspirae,o__Brachyspirales,f__Brachyspiraceae,g__Brachyspira,s__Brachyspira murdochii,WP_013112894.1,WP_013112893.1,WP_013112892.1,WP_013112721.1,WP_041749963.1,"WP_013112720.1,WP_013113731.1",WP_013114932.1,WP_008724603.1,WP_013113537.1,WP_013114114.1,WP_013114933.1,WP_013112722.1,WP_012669897.1,WP_013113539.1,WP_013113540.1,WP_008731029.1,WP_008722421.1,WP_013114005.1,WP_013114006.1,WP_013113139.1,WP_013113029.1,"WP_013113150.1,WP_013113561.1,WP_013114259.1,WP_013115194.1",WP_013112891.1,WP_013114389.1,WP_013113563.1,WP_013113849.1,WP_008726144.1,WP_013114928.1,WP_013113258.1,WP_013112715.1,WP_013112718.1,WP_013114520.1,,WP_013114937.1,WP_013113897.1,"WP_013112717.1,WP_013113185.1",,,,,WP_013113140.1,,WP_013113141.1,,,WP_013113538.1,,,,,,,,,,,,,WP_013114855.1,,WP_013112889.1,,,,,,,,,"WP_013112714.1,WP_013112919.1",,,,,,,,,,,WP_013112890.1,"WP_041750006.1,WP_013114390.1"
GCF_000413055.1,100.0,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_C,s__Treponema_C maltophilum,WP_016525700.1,"WP_016525117.1,WP_016525699.1",WP_016525697.1,WP_016525247.1,WP_016525249.1,"WP_016524915.1,WP_016525248.1",WP_040846769.1,WP_016525702.1,WP_016524713.1,WP_016524805.1,WP_040846250.1,WP_040846636.1,WP_211209570.1,WP_016525239.1,WP_016525240.1,WP_016525698.1,WP_016525242.1,WP_016524711.1,WP_016524712.1,WP_211209551.1,WP_016525244.1,"WP_016524816.1,WP_016524817.1",WP_051127866.1,"WP_016525241.1,WP_040846307.1",WP_016524804.1,WP_016525212.1,WP_016525213.1,WP_016526112.1,WP_016524814.1,WP_016525253.1,WP_016525250.1,"WP_016524812.1,WP_016525103.1",WP_016526113.1,WP_016525214.1,WP_016524438.1,WP_016525251.1,,,,WP_016524815.1,WP_016524807.1,WP_016524710.1,WP_016524808.1,,WP_016525256.1,WP_016525238.1,,,,,,,,,,,,WP_016525891.1,WP_016525622.1,WP_016525379.1,WP_016524752.1,,,,,,,,,WP_016525254.1,,,,,,,,,,,,WP_016525243.1
GCF_000242595.2,100.0,p__Spirochaetota,c__Spirochaetia,o__DSM-27196,f__DSM-8902,g__Spirochaeta_B,s__Spirochaeta_B africana,WP_014456136.1,"WP_014456135.1,WP_041396957.1",WP_014456133.1,WP_014456118.1,WP_014456116.1,"WP_014455285.1,WP_014456117.1",WP_014456139.1,WP_014456138.1,WP_041397283.1,WP_014454885.1,WP_014456137.1,WP_156810066.1,WP_014456119.1,WP_014456126.1,WP_014456125.1,WP_014456134.1,WP_014456123.1,WP_014456130.1,WP_014456129.1,WP_014454886.1,WP_014456121.1,"WP_014454896.1,WP_014454897.1,WP_014455532.1",WP_014456132.1,WP_014456124.1,WP_014454884.1,WP_014455941.1,WP_014455940.1,WP_014456725.1,WP_014454894.1,WP_014456112.1,WP_014456115.1,"WP_014454325.1,WP_014454485.1,WP_014454892.1,WP_014454899.1,WP_014455021.1,WP_014456228.1",WP_014456724.1,WP_014455939.1,WP_014454329.1,WP_014456114.1,,,,WP_014454895.1,WP_014454887.1,WP_014456131.1,WP_014454888.1,,WP_014456109.1,WP_014456127.1,,,,,,,,,,,,WP_014454772.1,WP_014455675.1,WP_014455516.1,WP_014455965.1,,,,,,,,,"WP_014456111.1,WP_014454627.1,WP_014456321.1,WP_014454303.1,WP_014456786.1",,,,,,,,,,,,WP_014456122.1
GCF_000008685.2,100.0,p__Spirochaetota,c__Spirochaetia,o__Borreliales,f__Borreliaceae,g__Borreliella,s__Borreliella burgdorferi,WP_002556890.1,"WP_002556889.1,WP_002656919.1",WP_002660657.1,WP_002657717.1,WP_010889723.1,WP_002657716.1,WP_002665200.1,WP_002657104.1,WP_002657723.1,WP_002656068.1,WP_002660553.1,WP_002556874.1,WP_002655982.1,WP_002556880.1,WP_002556879.1,WP_002556888.1,WP_002656446.1,WP_002665219.1,WP_002657724.1,WP_002657594.1,WP_002665214.1,WP_002661938.1,WP_002665319.1,WP_002656257.1,WP_002656867.1,WP_002557363.1,WP_002657111.1,WP_002658034.1,WP_002659773.1,WP_002557358.1,WP_002556869.1,WP_002557320.1,WP_002658032.1,WP_010889817.1,,WP_002556868.1,WP_010889818.1,,,,WP_002556781.1,WP_002665266.1,WP_002556782.1,,WP_002556864.1,WP_002556881.1,,,,,,,,,,,,WP_002660668.1,WP_010889669.1,WP_002557211.1,WP_010889712.1,,,,,,,,,WP_002657709.1,,,,,,,,,,,,WP_002556876.1
GCF_000017685.1,100.0,p__Spirochaetota,c__Leptospirae,o__Leptospirales,f__Leptospiraceae,g__Leptospira_A,s__Leptospira_A biflexa,WP_012387758.1,"WP_012388541.1,WP_012389872.1,WP_012390340.1",WP_012387962.1,WP_012389490.1,WP_012389488.1,WP_012476373.1,WP_012387771.1,WP_012387770.1,WP_012388188.1,WP_012390134.1,WP_012476152.1,WP_012389492.1,WP_012389491.1,"WP_012387230.1,WP_012389773.1","WP_012387172.1,WP_012387231.1",WP_012389873.1,WP_012388595.1,WP_012388186.1,,WP_226992948.1,WP_041770040.1,"WP_002974229.1,WP_012389104.1,WP_012389105.1,WP_012476288.1",WP_012387960.1,WP_002972703.1,"WP_012390135.1,WP_226992904.1",WP_012388528.1,WP_012388518.1,WP_012388457.1,WP_012387605.1,WP_012387953.1,WP_012387950.1,"WP_012388423.1,WP_012389265.1,WP_012476230.1",WP_012388458.1,WP_012388522.1,WP_012388318.1,WP_012387951.1,WP_012476254.1,WP_049756002.1,WP_012388519.1,,WP_012476436.1,WP_012387959.1,WP_012390131.1,WP_012388639.1,WP_012387956.1,WP_012387229.1,,,,,,,,,,,,,,WP_012388594.1,WP_012388791.1,,,,,,,,,"WP_012387954.1,WP_012388043.1,WP_012389851.1",,,,,,,,,,,,"WP_012388584.1,WP_012389494.1"
GCA_001784175.1,94.38,p__Lindowbacteria,c__2-12-FULL-62-27,o__2-12-FULL-62-27,f__2-12-FULL-62-27,g__2-12-FULL-62-27,s__2-12-FULL-62-27 sp001784175,OGH63152.1,OGH63153.1,OGH63155.1,OGH63170.1,"OGH58540.1,OGH63172.1",OGH63171.1,OGH63149.1,OGH63150.1,"OGH63117.1,OGH63161.1",OGH60304.1,OGH63151.1,OGH63168.1,OGH63169.1,OGH59081.1,OGH59080.1,OGH63154.1,OGH63164.1,OGH63159.1,OGH63160.1,OGH60303.1,OGH63167.1,"OGH56287.1,OGH56292.1,OGH60299.1,OGH60300.1,OGH62985.1","OGH63156.1,OGH63261.1","OGH63163.1,OGH63247.1",OGH60305.1,OGH60397.1,"OGH55798.1,OGH60396.1",OGH63262.1,OGH59705.1,OGH63327.1,OGH63173.1,OGH60794.1,OGH63261.1,OGH60393.1,OGH56265.1,,OGH60455.1,OGH60394.1,OGH60395.1,,OGH60302.1,OGH63158.1,OGH60301.1,,,OGH63162.1,,,,,,,,,,,,,,,,,,,,,,,,"OGH55687.1,OGH60017.1,OGH61351.1,OGH63287.1,OGH56245.1,OGH55549.1",,,,,,,,,,,OGH63157.1,OGH63165.1
GCF_002443295.1,95.45,p__Planctomycetota,c__Brocadiia,o__Brocadiales,f__Scalinduaceae,g__Scalindua,s__Scalindua japonica,WP_162532153.1,WP_096893265.1,WP_096893258.1,WP_096893236.1,WP_096893233.1,WP_096893234.1,WP_096893272.1,WP_096893270.1,WP_096892934.1,WP_096892943.1,WP_096893268.1,WP_096893239.1,WP_096893237.1,WP_096893253.1,"WP_096893249.1,WP_096893251.1","WP_096893262.1,WP_162532152.1",WP_096893246.1,WP_096892932.1,WP_096892933.1,WP_096892944.1,WP_162532151.1,WP_096893209.1,WP_096893256.1,WP_133111674.1,WP_096892942.1,WP_096892936.1,WP_096892937.1,WP_096893217.1,WP_096893212.1,WP_162532150.1,WP_096893230.1,WP_096892794.1,WP_096893219.1,WP_096892941.1,WP_096893294.1,,WP_096892940.1,WP_096892939.1,WP_096892938.1,,WP_162532137.1,"WP_096892492.1,WP_096893255.1",WP_096892946.1,WP_096893274.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_096893244.1
GCF_000165715.2,95.56,p__Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Rubinisphaera,s__Rubinisphaera brasiliensis,WP_013628782.1,WP_013628783.1,WP_013628785.1,WP_013628799.1,WP_013627750.1,WP_013628800.1,WP_013628779.1,WP_013628780.1,WP_013628790.1,WP_013630857.1,WP_013628781.1,WP_013628797.1,WP_013628798.1,WP_013628792.1,"WP_013627422.1,WP_013628793.1",WP_013628784.1,WP_013628845.1,WP_013628788.1,WP_013628789.1,WP_013630856.1,WP_013628796.1,WP_245538037.1,WP_013628786.1,"WP_013628794.1,WP_013628929.1","WP_013628778.1,WP_013630858.1",WP_013630864.1,WP_013630863.1,WP_013626503.1,WP_013626504.1,WP_013627753.1,WP_013627751.1,WP_013627448.1,,WP_013630859.1,WP_013628953.1,WP_013627752.1,WP_013630860.1,WP_013630861.1,WP_013630862.1,,,WP_013628787.1,WP_013627379.1,,,WP_013628791.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WP_013628795.1,WP_013627215.1"
GCF_000025185.1,98.78,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__Pirellula staleyi,WP_012913246.1,"WP_012913176.1,WP_012913247.1",WP_012913249.1,WP_012913263.1,WP_012912482.1,WP_012913264.1,WP_012913243.1,WP_012913244.1,WP_012913254.1,WP_012911300.1,WP_012913245.1,WP_012913261.1,WP_012913262.1,WP_012913256.1,WP_012913257.1,WP_012913248.1,WP_012912690.1,WP_012913252.1,WP_012913253.1,WP_012911301.1,WP_160163550.1,WP_012911304.1,WP_012913250.1,"WP_012911468.1,WP_012913258.1","WP_012911299.1,WP_012913240.1",WP_012911293.1,WP_012911294.1,WP_012911306.1,WP_012911305.1,WP_012912478.1,WP_012912481.1,WP_012910548.1,,WP_012911298.1,WP_012912923.1,WP_012912480.1,WP_012911297.1,WP_012911296.1,WP_012911295.1,,WP_012911302.1,WP_012913251.1,WP_012911303.1,WP_012913242.1,,WP_012913255.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WP_012913259.1,WP_012911170.1"
GCF_900105685.1,99.32,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__GAS474,g__GAS474,s__GAS474 sp900105685,WP_093287399.1,WP_093287397.1,WP_093287393.1,WP_093287359.1,WP_093287354.1,WP_093287356.1,WP_093287407.1,WP_093287404.1,"WP_093286638.1,WP_093287377.1",WP_093287318.1,WP_093287402.1,WP_255360052.1,WP_093287362.1,WP_093287346.1,WP_093287343.1,WP_093287394.1,WP_093287372.1,WP_093287385.1,WP_093287380.1,WP_093287315.1,WP_093287367.1,"WP_093283810.1,WP_093283813.1,WP_093283815.1,WP_093283818.1,WP_093284003.1",WP_093287390.1,WP_093287375.1,WP_093287321.1,WP_093287337.1,WP_093287334.1,WP_093281108.1,WP_162274606.1,WP_093287349.1,,,WP_093287214.1,WP_093287323.1,WP_093281524.1,,WP_093287326.1,WP_157895370.1,WP_093287331.1,,WP_093287313.1,WP_093287387.1,WP_093287310.1,WP_157895104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_093287370.1
